i j Omegaij  Pij
0 1 0.220994 0.225895
0 2 0.087735 0.086638
0 3 0.341367 0.338855
0 4 0.340359 0.340548
0 5 0.284672 0.285652
0 6 0.304338 0.304795
0 7 0.004002 0.003826
0 8 0.106048 0.105411
0 9 0.158007 0.155894
0 10 0.285377 0.284937
0 11 0.229992 0.226875
0 12 0.115262 0.114118
0 13 0.247700 0.246077
0 14 0.102953 0.102293
0 15 0.034985 0.035143
0 16 0.189709 0.188099
0 17 0.348133 0.346525
0 18 0.151831 0.151018
0 19 0.167754 0.172916
0 20 0.257504 0.254017
0 21 0.230870 0.230683
0 22 0.323529 0.321512
0 23 0.154638 0.153818
0 24 0.296434 0.296084
0 25 0.170230 0.170171
0 26 0.062872 0.063326
0 27 0.152853 0.154835
0 28 0.251458 0.251466
0 29 0.085936 0.086289
0 30 0.105919 0.105772
1 0 0.030701 0.030075
1 17 0.080540 0.079877
1 31 0.049139 0.049950
1 12 0.026809 0.026305
1 15 0.009055 0.008101
1 9 0.035735 0.035935
1 23 0.036862 0.035456
1 32 0.020805 0.020924
1 33 0.044277 0.043307
1 21 0.053703 0.053174
1 34 0.071656 0.072774
1 2 0.020862 0.019971
1 8 0.025440 0.024298
1 19 0.041696 0.039859
1 35 0.034580 0.033424
1 6 0.071584 0.070258
1 5 0.063941 0.065845
1 7 0.000742 0.000882
1 36 0.072497 0.071431
1 10 0.064768 0.065680
1 3 0.078885 0.078109
1 37 0.031871 0.030315
1 18 0.036077 0.034811
2 0 0.113712 0.112847
2 1 0.196099 0.195378
2 38 0.201380 0.198904
2 20 0.219872 0.219700
2 39 0.081750 0.081859
2 12 0.099301 0.098701
2 6 0.267446 0.263618
2 7 0.003704 0.003309
2 33 0.165049 0.162495
2 27 0.133665 0.133917
2 22 0.277690 0.278077
2 40 0.112671 0.110756
2 41 0.041584 0.039426
2 42 0.026956 0.026779
2 8 0.092370 0.091171
2 10 0.245583 0.246443
2 3 0.290293 0.293077
2 17 0.301882 0.299711
2 18 0.128818 0.130616
2 43 0.216703 0.217870
2 15 0.031383 0.030396
2 44 0.066862 0.066818
2 45 0.216298 0.215166
2 5 0.248173 0.247061
2 19 0.148424 0.149556
2 26 0.056921 0.054771
2 21 0.200932 0.199518
2 46 0.217079 0.217512
2 47 0.297715 0.299320
2 48 0.216558 0.215168
2 49 0.106391 0.107433
2 11 0.198226 0.196225
2 50 0.288108 0.286484
2 51 0.158132 0.156479
2 52 0.016683 0.016226
2 53 0.114971 0.113752
2 54 0.108706 0.110143
2 55 0.264523 0.263035
3 0 0.183909 0.183315
3 1 0.318588 0.317381
3 2 0.123791 0.121725
3 56 0.444376 0.441950
3 57 0.048903 0.047476
3 58 0.349025 0.346091
3 59 0.225463 0.223739
3 45 0.348355 0.349526
3 60 0.175533 0.172088
3 61 0.153458 0.152025
3 62 0.025300 0.025907
3 63 0.004095 0.003421
3 64 0.336625 0.340704
3 65 0.041896 0.040083
3 66 0.303105 0.300207
3 10 0.399940 0.400333
3 67 0.032307 0.031776
3 68 0.419161 0.419475
3 69 0.310625 0.308000
3 70 0.470247 0.468267
3 21 0.326522 0.324107
3 71 0.395830 0.395047
4 0 0.191691 0.193030
4 5 0.423501 0.422608
4 72 0.335546 0.333614
4 73 0.503305 0.506006
4 12 0.170034 0.168831
4 74 0.392152 0.388620
4 75 0.279027 0.276953
4 76 0.016113 0.015442
4 77 0.007891 0.007271
4 78 0.136612 0.135956
5 0 0.074607 0.073856
5 1 0.129306 0.127870
5 2 0.050129 0.049042
5 4 0.193902 0.192769
5 6 0.173036 0.172531
5 27 0.088875 0.087645
5 12 0.065624 0.064597
5 33 0.108041 0.106349
5 79 0.008669 0.008881
5 80 0.008726 0.008861
5 15 0.020080 0.019893
5 17 0.196558 0.196153
5 81 0.187875 0.188290
5 26 0.036090 0.035846
