Inf_UN Sus_UN F_GT G_GT
0.3547 0.3711 5.8135 4.7776
0.0829 0.6370 1.0022 7.5782
0.3072 0.2451 6.1726 4.4043
0.4989 0.9530 5.4371 8.3979
0.5240 0.9611 2.4559 3.8081
0.2017 0.8070 2.0538 7.3036
0.0406 0.8598 0.5648 11.3560
0.8279 0.0118 3.6336 0.0345
0.4624 0.2980 3.7889 2.3690
0.9879 0.4407 16.2282 6.6467
0.5138 0.8057 5.1898 7.0161
0.1477 0.6362 1.3475 5.3384
0.3972 0.3220 5.5010 3.1349
0.5161 0.6940 7.4425 12.1961
0.7079 0.2886 6.0283 3.2047
0.4178 0.1004 11.0939 2.5230
0.3716 0.5291 1.3184 1.0532
0.1650 0.9779 1.7453 7.3751
0.4910 0.4280 7.2806 5.4060
0.7984 0.4866 6.2612 4.6952
0.0515 0.7175 1.1602 13.3243
0.4970 0.6484 3.9433 4.3098
0.7897 0.9072 20.6349 22.1239
0.0482 0.4352 0.8730 9.0256
0.0268 0.8354 0.3293 7.1063
0.1964 0.4800 0.4296 0.2630
0.2474 0.1771 2.8070 1.7427
0.3523 0.4392 2.0280 2.5524
0.4746 0.7097 2.6386 2.2405
0.9997 0.2450 11.8421 3.0524
0.7201 0.2991 8.0372 3.3958
0.8225 0.6036 1.5227 0.3931
0.4573 0.2562 1.6799 0.7190
0.5480 0.5295 5.0837 4.6613
0.9905 0.8535 0.6325 0.0717
0.6375 0.4119 0.4071 0.0346
0.5000 0.8635 0.3193 0.0725
0.9200 0.3710 13.6267 4.7468
0.4855 0.6480 7.3744 8.0542
0.6419 0.2671 8.5651 4.2817
0.4637 0.3618 12.3460 9.6613
0.9132 0.1297 22.7805 3.6659
0.2919 0.0883 1.3954 0.4185
0.5101 0.7121 4.6637 7.5542
0.1721 0.2183 2.5410 3.1670
0.6944 0.7025 13.2114 11.8699
0.8090 0.7102 2.5612 2.4520
0.3913 0.9780 1.4557 3.0411
0.8290 0.7018 15.0816 12.7817
0.9248 0.3514 10.8360 4.7434
0.9270 0.9349 10.3851 10.1649
0.2358 0.5114 4.6152 9.5460
0.3680 0.0546 0.3838 0.0377
0.3555 0.3718 5.9088 6.6346
0.8064 0.3615 6.3275 2.9347
0.2477 0.8594 3.8917 17.5355
0.3682 0.8890 5.0792 12.3440
0.2503 0.0968 3.7896 1.5056
0.0048 0.6973 0.0488 5.5932
0.8311 0.4478 2.0677 0.6192
0.8136 0.3463 3.4222 2.2176
0.3185 0.3065 4.4292 3.4302
0.1120 0.0531 0.6581 0.2584
0.5407 0.0082 4.9989 0.0580
0.0411 0.6819 0.3556 6.1174
0.1528 0.0820 1.4355 0.5691
0.4711 0.6027 3.6229 5.0048
0.3265 0.0651 2.7445 0.6311
0.8859 0.8423 12.7890 11.1598
0.2885 0.6199 3.4113 7.7784
0.5677 0.9432 3.2824 5.2673
0.3807 0.7960 5.9117 14.6054
0.8017 0.6388 8.1049 7.0034
0.0462 0.9664 0.5326 11.3954
0.1267 0.7420 0.8902 4.3904
0.7822 0.5285 17.0178 11.2556
0.5356 0.0314 2.9045 0.1081
0.2129 0.0144 0.9742 0.0914
0.4989 0.2605 3.5212 1.9282
0.4429 0.0449 6.7365 0.5781
0.8766 0.0451 10.3267 0.5047
0.6780 0.9385 9.0676 10.8663
0.7733 0.2156 2.5856 0.4690
0.0040 0.0919 0.0301 0.7016
0.4620 0.8744 5.8457 9.3080
0.4670 0.8868 3.0790 4.3610
0.5755 0.7927 1.2979 2.3334
0.7910 0.9159 5.5208 6.1630
0.5049 0.9778 2.5179 4.1881
0.3660 0.3952 4.1395 4.6759
0.5304 0.8245 4.1623 3.4416
0.4059 0.7905 2.5242 6.4102
0.8929 0.7509 9.5770 7.1396
0.6977 0.5614 8.3235 6.6645
0.6525 0.4420 2.1622 0.5846
0.1089 0.2398 0.4408 0.7714
0.0928 0.2943 0.1643 0.2448
0.9347 0.8241 2.5791 1.9334
0.9612 0.5872 2.7711 1.5524
0.2147 0.7548 0.3763 0.5797
0.9147 0.5116 6.9546 3.4881
0.2098 0.7251 0.3409 1.3461
0.6858 0.7338 2.3280 1.5838
0.7287 0.1852 5.3507 1.5977
0.6883 0.4298 23.2048 17.0544
