Inf_UN Inf_GT Sus_UN Sus_GT F_GT G_GT
0.3480 0.3541 0.3750 0.3684 5.8050 4.7366
0.0800 0.0816 0.6490 0.6379 0.9910 7.5816
0.3010 0.3063 0.2490 0.2446 6.1512 4.3891
0.4890 0.4976 0.9740 0.9568 5.4142 8.4115
0.5150 0.5239 0.9790 0.9616 2.4493 3.8024
0.1970 0.2005 0.8210 0.8066 2.0401 7.2888
0.0390 0.0397 0.8760 0.8607 0.5521 11.3503
0.8130 0.8271 0.0110 0.0108 3.6244 0.0315
0.4540 0.4619 0.3030 0.2977 3.7805 2.3622
0.9710 0.9881 0.4480 0.4402 16.2322 6.6308
0.5050 0.5139 0.8190 0.8046 5.1884 6.9918
0.1450 0.1476 0.6520 0.6406 1.3436 5.3034
0.3910 0.3978 0.3280 0.3222 5.4998 3.1291
0.5070 0.5160 0.7070 0.6949 7.4417 12.2007
0.6970 0.7092 0.2940 0.2888 6.0270 3.2049
0.4100 0.4172 0.1010 0.0992 11.0630 2.4922
0.3630 0.3693 0.5410 0.5311 1.3115 1.0512
0.1610 0.1638 0.9960 0.9785 1.7332 7.3714
0.4810 0.4895 0.4340 0.4264 7.2544 5.3872
0.7860 0.7997 0.4970 0.4883 6.2581 4.7031
0.0500 0.0509 0.7300 0.7173 1.1453 13.2911
0.4870 0.4956 0.6630 0.6514 3.9359 4.3234
0.7760 0.7897 0.9240 0.9079 20.6137 22.1178
0.0460 0.0468 0.4420 0.4343 0.8476 8.9978
0.0260 0.0265 0.8510 0.8361 0.3250 7.1007
0.1950 0.1984 0.4900 0.4805 0.4333 0.2621
0.2430 0.2473 0.1820 0.1788 2.8020 1.7610
0.3460 0.3521 0.4450 0.4372 2.0234 2.5405
0.4660 0.4741 0.7230 0.7101 2.6329 2.2326
0.9840 1.0013 0.2480 0.2437 11.8444 3.0335
0.7070 0.7194 0.3040 0.2987 8.0188 3.3890
0.8110 0.8247 0.6240 0.6119 1.5279 0.3962
0.4500 0.4578 0.2610 0.2563 1.6816 0.7178
0.5380 0.5475 0.5400 0.5305 5.0712 4.6651
0.9710 0.9862 0.9210 0.8915 0.6302 0.0737
0.6380 0.6480 0.4230 0.4094 0.4141 0.0338
0.4920 0.4997 0.9040 0.8750 0.3193 0.0723
0.9030 0.9189 0.3780 0.3714 13.6037 4.7465
0.4770 0.4854 0.6610 0.6494 7.3658 8.0563
0.6300 0.6411 0.2720 0.2673 8.5441 4.2772
0.4550 0.4631 0.3680 0.3616 12.3209 9.6453
0.8970 0.9128 0.1310 0.1287 22.7470 3.6339
0.2880 0.2930 0.0890 0.0874 1.4000 0.4142
0.5010 0.5098 0.7240 0.7113 4.6533 7.5434
0.1680 0.1710 0.2220 0.2181 2.5224 3.1571
0.6820 0.6940 0.7150 0.7025 13.1858 11.8561
0.7940 0.8077 0.7230 0.7101 2.5543 2.4474
0.3840 0.3907 0.9950 0.9772 1.4519 3.0347
0.8150 0.8293 0.7150 0.7025 15.0628 12.7728
0.9090 0.9250 0.3570 0.3507 10.8280 4.7303
0.9110 0.9271 0.9520 0.9353 10.3772 10.1597
0.2310 0.2351 0.5200 0.5109 4.5939 9.5222
0.3630 0.3690 0.0540 0.0530 0.3837 0.0365
0.3480 0.3541 0.3780 0.3714 5.8781 6.6184
0.7920 0.8059 0.3660 0.3596 6.3186 2.9134
0.2430 0.2473 0.8740 0.8588 3.8766 17.4940
0.3620 0.3684 0.9040 0.8882 5.0734 12.3251
0.2450 0.2494 0.0970 0.0954 3.7698 1.4921
0.0040 0.0041 0.7080 0.6956 0.0410 5.5741
0.8150 0.8291 0.4580 0.4497 2.0677 0.6210
0.7970 0.8109 0.3520 0.3459 3.4136 2.2053
0.3130 0.3185 0.3110 0.3055 4.4246 3.4151
0.1100 0.1119 0.0530 0.0521 0.6569 0.2529
0.5310 0.5403 0.0070 0.0069 4.9930 0.0483
0.0390 0.0397 0.6970 0.6847 0.3440 6.1357
0.1500 0.1526 0.0820 0.0806 1.4326 0.5585
0.4620 0.4703 0.6140 0.6034 3.6202 5.0084
0.3200 0.3256 0.0650 0.0639 2.7395 0.6183
0.8710 0.8864 0.8580 0.8431 12.7784 11.1531
0.2830 0.2881 0.6300 0.6190 3.4076 7.7578
0.5570 0.5668 0.9580 0.9411 3.2740 5.2537
0.3740 0.3806 0.8080 0.7940 5.8980 14.5602
0.7880 0.8019 0.6480 0.6367 8.0935 6.9744
0.0440 0.0448 0.9830 0.9658 0.5167 11.3841
0.1240 0.1262 0.7550 0.7417 0.8864 4.3865
0.7700 0.7836 0.5380 0.5286 17.0155 11.2480
0.5230 0.5321 0.0300 0.0295 2.8802 0.1013
0.2100 0.2137 0.0140 0.0139 0.9748 0.0934
0.4890 0.4976 0.2640 0.2595 3.5105 1.9206
0.4350 0.4427 0.0450 0.0443 6.7255 0.5712
0.8610 0.8761 0.0450 0.0442 10.3019 0.4941
0.6660 0.6777 0.9560 0.9393 9.0609 10.8582
0.7610 0.7742 0.2210 0.2170 2.5874 0.4705
0.0030 0.0031 0.0930 0.0914 0.0229 0.6969
0.4550 0.4630 0.8900 0.8744 5.8508 9.3049
0.4600 0.4681 0.9040 0.8880 3.0848 4.3591
0.5650 0.5747 0.8080 0.7936 1.2927 2.3327
0.7780 0.7915 0.9320 0.9156 5.5176 6.1568
0.4960 0.5046 0.9980 0.9803 2.5147 4.1916
0.3590 0.3653 0.4020 0.3950 4.1281 4.6656
0.5210 0.5303 0.8390 0.8241 4.1586 3.4382
0.3980 0.4052 0.8010 0.7875 2.5162 6.4072
0.8760 0.8915 0.7650 0.7519 9.5580 7.1252
0.6860 0.6982 0.5700 0.5600 8.3198 6.6365
0.6430 0.6542 0.4490 0.4408 2.1708 0.5824
0.1060 0.1079 0.2420 0.2377 0.4362 0.7625
0.0910 0.0925 0.2960 0.2904 0.1638 0.2412
0.9190 0.9349 0.8440 0.8292 2.5769 1.9277
0.9430 0.9593 0.6000 0.5893 2.7639 1.5576
0.2080 0.2115 0.7710 0.7563 0.3700 0.5767
0.8990 0.9150 0.5230 0.5139 6.9520 3.4947
0.2070 0.2105 0.7330 0.7199 0.3420 1.3370
